GiftId,Latitude,Longitude,Weight
11,72.6189278664,39.0901430146,27.579921436
22,61.0683069193,47.3626446387,27.1131731807
24,65.8513733791,36.4035868261,1
35,71.6513211596,52.5635732888,1
48,87.45396893039999,39.4908953629,14.7620054211
57,86.6545120863,50.6645301945,25.353678265
61,80.2715347896,37.7192599208,24.9604159647
88,74.4564290807,47.3742845841,42.4122961764
111,95.7180043819,38.241103594,1
126,84.66670419570001,33.718955527,1
128,64.12504873020001,44.1370504357,1
144,66.2435876638,54.3125063114,1
148,80.13784697609999,44.0686969749,18.0100719564
154,98.9530453963,36.4672379307,5.25488678125
161,94.7669553823,59.6300669251,17.6725208177
171,98.6164503161,41.3206361791,1
181,68.7413670113,35.3463867587,7.37712763218
194,96.0500031145,38.150441738,9.191136757740001
196,63.2555692111,50.973368438,15.687929904
229,68.41944544170001,51.5266773743,26.0169333331
240,77.6227801399,42.4915478977,1
250,97.3203242135,53.0960249836,6.2741454681
263,87.62121872279999,33.6632591114,1
273,91.3427305821,38.9651154504,28.0437473605
278,73.33414345209999,33.2768836315,39.4633475789
281,97.3727252547,43.1406287946,26.5558200072
285,75.7017990471,47.6014867172,10.8743365426
287,66.9458935958,36.5302723073,50
292,75.8566570947,47.5672041476,28.2618078303
313,78.2947448795,40.4651274221,3.70770269305
324,85.78144311600001,58.0672259502,19.9812092114
325,78.9673704667,38.9296472614,1
330,61.9525741885,41.9901282571,2.44323027529
354,65.5980900496,30.8622768265,1
387,65.7449373258,43.522372815,1
429,99.6074001887,51.7251246951,1
448,65.8531751757,51.8587130067,32.9970148702
455,84.2023937334,38.1258211136,41.7349598463
463,75.6763776894,42.9021992149,4.08980300051
493,66.07169090089999,47.5335490281,7.60951349303
496,60.6442877897,41.0983289922,47.959102009
517,85.52717535710001,53.2056549626,1.68403838716
518,69.72876415730001,44.5440753225,11.2624688179
537,79.22672583400001,39.196934839,27.4418257488
555,83.4926242825,44.3994104615,10.3114299909
562,72.966673671,53.2365712154,37.1176194478
580,75.1023654593,33.6814051468,5.47529946275
583,64.8485398963,51.4084649447,33.9506761206
595,89.6616245523,31.0900104316,5.08015331126
597,91.7632261056,48.9842321574,37.1568417459
604,86.1316719278,56.6504840864,42.6283922099
605,71.68388609669999,54.2894730997,14.2476860203
606,69.1769377052,33.1616323992,7.38141057243
617,84.55377877870001,41.0848715929,35.755877212
622,60.1645613648,40.8180682571,1
638,95.85763300230001,33.0955176313,1
681,97.17164950119999,55.7157092329,29.8692655399
710,81.7958342029,58.5707669866,30.8255117263
713,98.5004922887,51.7879399434,1.21137548586
726,79.4572430612,37.3385113889,25.7963149819
758,73.54755954869999,48.8556072156,5.18638814784
794,90.6020880048,41.3857207826,26.9577379738
796,85.9271954852,53.2555701362,1
802,63.6964973863,32.7003623869,4.01314369145
864,98.50742660509999,30.5125637033,45.0751372175
866,77.70735403560001,42.175088781,1.99380710932
873,92.64766604730001,53.3432721901,1
877,65.3976444325,56.3377933553,14.6122402093
892,64.8470041561,49.1477713625,25.7965000533
903,72.67917196419999,30.3341272244,32.2391706488
910,77.5878193007,49.9785190472,17.1114747146
924,89.6358975542,37.0988054651,17.8021151642
933,80.1454182291,47.9806680891,34.4713878673
941,97.8617066298,48.0491198152,9.556655528929999
945,62.305125654,41.2312001637,15.2366590934
965,84.8854600076,45.3334410471,1
972,71.7152254956,53.2671092783,1
992,98.72093656840001,36.6553527671,1
995,87.85094687199999,53.4461650913,25.7505786172
1017,91.1023705538,40.2295837904,1
1034,69.9818129313,51.7306667999,11.2995756226
1052,82.774447502,31.2269778394,7.37320137659
1086,76.1307025035,47.6031509053,1
1093,65.72381036519999,51.4628314247,19.9757157669
1116,74.910568986,49.7825237456,18.6722301919
1126,79.3604216704,37.3016693383,1
1133,67.1470821931,30.2727676524,36.8897085849
1134,64.19600957919999,45.9435129356,50
1142,73.897147942,30.5301052148,1
1150,94.9129563682,59.3826280462,4.67124979398
1152,80.56774242820001,35.468256363,1
1153,89.9609502751,31.9926298262,49.4351759847
1169,82.29781798579999,33.9550739579,35.6695694419
1174,76.27186510040001,36.7227216578,15.665941793
1175,74.9778868666,52.0111980157,41.9281224248
1218,96.0366635685,42.9938599989,1
1245,63.1007247433,56.1156003559,24.7149702898
1247,80.9467093534,52.3864410317,1
1269,99.9210174448,53.6861121742,24.7679629528
1281,92.9550458275,36.2168153749,24.8551746811
1289,75.038202215,36.2398627768,1
1327,79.72248864780001,55.9419362269,1
1328,78.12715356690001,33.6116736394,34.3614366501
1330,95.0152877893,31.7799585256,30.8024814559
1333,99.9066207457,47.0104043463,1
1368,90.9426798711,35.1789407369,7.64072164263
1373,96.06104697080001,41.3815328633,7.5695415784
1374,61.218284586,34.7374090635,41.5504120656
1380,60.7521870792,45.776081865,2.52681613792
1387,67.5576924133,49.7405537186,12.8696177778
1390,97.3638465766,33.0141724597,1
1396,63.8392899608,37.5437424003,1
1417,95.8607063016,31.5367776229,34.2759790707
1494,79.6836042179,32.9582542218,1
1503,66.8603090351,35.3484042443,1
1511,92.1900200579,42.1748833691,43.5584853813
